http://www.nytimes.com/2015/12/06/arts/music/u2-preaching-defiance-heads-back-to-paris.html
		u2 , preaching defiance , heads back to paris 
672014883643346944	nytimes	morning briefing : here's what you need to know to start your day 
672024269996576768	ArriojaJoseE	your nyt wednesday briefing : mark zuckerberg , british parliament , yahoo 
		here’s what you need to know to start your day . 

http://kristof.blogs.nytimes.com/2015/12/01/tahir-elci-human-rights-defender/
672019538205147136	callysally	rt indictment said wilson principle on self-determination is ref point for " ethnic terrorism " … 
671730529528606720	Stand_4_Justice	tahir elci , human rights defender 
672013043165974528	KhalidiAri	indictment said wilson principle on self-determination is ref point for " ethnic terrorism " by 
671977262783287296	aylushka_a	by : tahir elci said " said both sides — the pkk and the state — were all too eager to return to war ... " 
671954851782373376	oezlem1282	rt tahir elci , human rights defender 
671988356142653440	cathyotten	tahir elci , human rights defender ' in each deadly conflict , there are only a few precious bridges like him ' 
671746090551664640	NickKristof	the killing of a human rights defender in turkey underscores gthe growing challenges facing kurds there 
671932259629441024	jgsf1987	retweeted nicholas kristof ( the killing of a human rights defender in turkey underscores gthe ... 
671892023838945280	loreleikelly	killing of a kurdish bridge builder in turkey -- 
671834578131243008	kocyildirim	a beautiful tribute to from always interesting 
671832418874191873	dewesia	tahir human rights defender 
671730953430171648	shin_ae_lee	wilson , woodrow , turkey , kurdistan workers ' party , human rights and human rights violations , kurds , murders , attem … 

http://www.nytimes.com/2015/12/02/us/the-curious-incident-of-the-duct-taped-dog-on-facebook.html
671776986398789632	AstridRory	the curious incident of the duc t-t aped dog on facebook 
672008823666696192	PetNewsdaily	the curious incident of the duc t-t aped dog on facebook - new york times 
672007710108356608	chezamission	rt this is the other asshole who taped her dog's mouth shut => the curious incident of the duc t-t aped dog on facebook https … 
671978715472097280	puppy_training_	new york times the curious incident of the duc t-t aped dog on facebooknew york timesthis y … 
671923556729536513	AntiGlib	not everything you do in your life must be posted to social media . especially the terrible things - 
671920406610255872	SteveKaplanpa	animal rights supporters are increasingly playing detective online , calling out abuse and calling the authorities . 
671831404746010624	LaurieEMartin	the curious incident of the on facebook 
671796457293221888	bpekroy	well now the nytimes picked it up so they need to care ! 
671762013547315200	zpr_media	media alert : this incident made it into the ny times !!! be aware of how you treat other living beings . social ... 

http://www.nytimes.com/slideshow/2015/12/01/blogs/pictures-of-the-day-greece-and-elsewhere/s/20151201POD-slide-W2ZA.html
671880923818905600	Loveley_Eyes	photos of the day 
671823978131038208	Women2Date	pictures of the day : 

http://www.nytimes.com/interactive/2015/11/30/style/readers-debate-pursuing-lost-love.html
671305155854376960	nunez_anna	readers debate the wisdom of pursuing a lost 
671565238282657792	spinstripes	true ! " more fun to imagine lost romances than to plug away at real one ... imaginary romance is light , fluffy & airy . " 
671397360434475008	chenkx	" we don’t have many chances to find love , let alone true love . " 
671543366337843201	napavore	on lost loves : we all have at least one , right ? would you pursue yours ? 
671455713517051904	lindsayism	these are funny - you can tell which were originally posted on fb & * clearly * meant for a particular person to see : 
671430712386453505	sofia1511	" we don’t have many chances to find true love . take that leap of faith , you may be surprised " , i love this column ❤ ️ 

http://www.nytimes.com/2015/12/02/arts/music/google-cultural-institute-puts-us-all-onstage.html
671977707459190784	InstantEncore	cultural institute puts us all onstage - 
672019083328675840	uandmrjones	" stand " onstage at the palais garnier , with paris opera ballet , via google's 360-degree video 
672009139577561088	billiegastic	rt the digital concert hall reimagined ? google's immersive on-stage arts experience by … 
671999753975111682	BTOResearch	are able to make you feel part of their but only can bring you onstage for real 
671992498873610240	CreativityMktg	rt when tech meets art and culture and customer experience , everyone wins 
671991759803514880	makanaofmaui	rt the google cultural institute is using 360-degree video to put you onstage with ballerinas … 
671984420094627841	SoederKomm	puts us all onstage - provide narrative , behind the scenes + context 
671978047210463232	DDombrosky	rt cultural institute puts us all onstage - 
671913637972475904	amyyqin	rt to sit amid the musicians of the philadelphia orchestra , just hit play . google puts viewers onstage by h … 
671906171570139138	sarah900102	360-degree video featuring the philadelphia orchestra 
671891318864486400	raygibbs1	retweeted paul carvill ( “ google provide the gee-whiz technology ... ” 
671891282210529281	raygibbs1	rt “ google provide the gee-whiz technology ... ” 
671873433681178630	WhartonMusic	technology is amazing . performing it live is even better ! 
671873175458873344	NJYSMusic	we love technology and what it can do , but we know for real what it's like to be in the middle of a symphony ! 
671869530105233408	ArtsAlertz	[ nyt theater ] puts us all onstage 
671832919913181184	ThierryMathelin	rt go onstage with 360° video of dance my story : … 
671799525992976385	OrchCanada	can we simply say " ooooooooh " ? check out the google cultural institute , here ! 
671797334980841472	Luminato	google gives you 360 degree access to stages and performances all over the world ! 
671795056165044224	stageagent	cool google initiative to improve access to performing arts . would be even better to see more silicon valley $$$ ... 
671793860448768001	galakhitrova	seems to be a vr moment for perf arts 

http://www.nytimes.com/2015/12/02/business/international/vw-argued-for-easing-new-eu-tests-on-emissions.html
671957864181837824	cbtly	" such topics must be deleted . " how vw ordered the eu commission to make changes to new emissions tests 
671758374573203456	twiteconomy	vw argued for easing new e.u. tests on emissions 
672010513145012224	PINOROMBI	new e.u. tests on emissions ?... oh , no !!! 
672007838974222336	KazuhikoFujita6	danny hakim and claire barthelemy 
672004994166583297	ShareActionUK	lobbied for easing new eu tests on emissions 
671969835396546560	interfluidity	it was “ part of the normal exchange of expertise that is part of every lawmaking in the e . u . ” precisely the problem . 
671974027410472961	SennSalPasch	lobbied to remove two key parts of europe’s auto emissions tests according to 
671986940816793601	mirakamdar	while europe seizes high ground at lobbied to ease new world benchmark e.u. emissions ' tests 
671948958994931712	nytimesbusiness	auto emissions control comes in various forms . by and 
671801373579747329	cbtly	das auto and its lobbyists : volkswagen is actively shaping new eu car emissions tests . with 
671950820246740992	InvestingLatest	nytimesbusiness : auto emissions control comes in various forms . by dannyhakim and cbtly 
671908998354874368	batuhankacmaz23	argued for easing new on 
671850274680528896	Economyreports	vw argued for easing new eu tests on emissions - new york times 
671817118233567232	owlese	" such topics must be deleted , " volkswagen executive emailed european commission on new emissions tests 🚗💨 
671785891141128193	cbtly	" such topics must be deleted . " internal email shows how volkswagen pushed for changes to new eu car emissions tests : 

http://www.nytimes.com/politics/first-draft/2015/12/01/at-home-chris-christie-hears-a-dissenting-newspaper-voice/
671780739525005312	reFLIPd	" at home , chris christie hears a dissenting newspaper voice " 
671869580059533312	tackettdc	chris christie gets a homegrown rebuttal to the nh union leader endorsement 

http://www.nytimes.com/2015/12/04/fashion/mens-style/does-celibacy-help-your-game-no-sex.html
671640007703072769	TLW3	no sex , please . i have a game tomorrow . 
671988535302328320	WorldHealthNews	seattle seahawks quarterback russell wilson has taken a public vow of celibacy . will it help him on the field ?… 
671700013639184386	rkearney	famous , manly men have weird sexual habits , the reports . 
671899302093070336	claire_mcnear	ha haaha ha ... ha ha ...... ha ????? is this a joke this is a joke right 
671720871103299585	dennispastorizo	lol ! very interesting article about pre-game practices : no please . i have a tomorrow . 
671714884946681857	matthewkassel	" sex blackout " is such a severe term 
671703772045959168	ajaymehta	will russell wilson's public abstinence affect his football season ? a look at the history of celibacy in sports : 
671703525810941953	mmoyr	caption of the day 
671695036443176960	ammaogan	“ i have to ease off on making love when writing hard as the two things are run by the same motor . ” hemingway 

http://www.nytimes.com/interactive/2015/12/01/technology/mark-zuckerberg-charity-donation-question.html
672027350846967808	AaronBBrown	rt if you were mark zuckerberg and priscilla chan , tell us how you would give away $45 billion , and why ? 
671878387711873024	JR_Floyd_Yankee	how would you give away your fortune ? 
672021693884272640	Glory_66	if you were in their position , what charities or causes would you support ? tell us below . we may publish a selection … 
671985187505496064	Griffster77	planglobal : rt nytimes : if you were mark zuckerberg and priscilla chan , tell us how you would give away $45 billio … 
671877554438053890	samraiman	rt this is mark and priscilla chan 2 give away 99% of their $45b in sto … 
671873621917360128	greekamerican45	" if you were zuckerberg and chan , how you would give away $45 billion . " it will actually be hard work ! 
671868972166418432	REALMENSINGCW	this is mark and priscilla chan 2 give away 99% of their $45b in stock 

http://www.nytimes.com/2015/12/02/world/europe/spains-prized-iberico-hams-cant-cure-fast-enough-for-china.html
672020295058755584	haroldlgardner	prized can’t cure fast enough for 
671952891645714432	calvoesperanza	spain’s prized ibérico hams can’t cure fast enough for 
672017829214973953	thisismariaelia	china pigs out ! spain’s prized ibérico hams can’t cure fast enough for china 
672016659041771520	lettatayler	chino-ibérico : prized hams can't cure fast enough for boosting price . 
672004407442202624	PINOROMBI	chinese consumers have entered the market for spanish pork hams with gusto 
671985591446204416	TomMehaffy	ny times on the chinese affinity for spanish hams 
671916168186302464	amyyqin	this is a great ' china in the world ' piece - on china's growing appetite for spanish ibérico ham 
671981009286635520	nelthorpe	hands off , china , this ham is mine 
671961641462972416	Milatrud11	rt spain’s ibérico hams can’t cure fast enough for china i've not yet seen any legs at sheung shui stat … 
671944070659375104	TATHK	huge success of iberico pork in china shows asian appetite for western specialty foods : 
671939426696597504	amietsang	spain’s ibérico hams can’t cure fast enough for china i've not yet seen any legs at sheung shui station but ... 
671868118105370624	I_am_orange	iberico hams & china similar to why the dungeness crabs are so expensive now . 
671857013261930496	rebeccadactyl	spain’s prized ibérico hams health+quality of life of animals ! spanish v american v chinese perspectives 
671854824577634305	metanoik	spain's prized ibérico hams can't cure fast enough for china - new york times 

http://www.nytimes.com/2015/12/02/us/politics/supreme-court-says-woman-injured-in-austria-cant-sue-in-us.html
671747666766860288	Politusa	supreme court says woman injured in austria can’t sue in u.s. 
671830409798397953	cristiantatoiu	wtf ? she is so fucking dumb to try and board a moving train and she wants damages ? dumb bitch ! rofl 
671750656634392578	mediat	supreme court says woman injured in austria can't sue in us - new york times 
671775762618322944	KeitnerLaw	place of injury prevails in suit ; no exception to for austrian nat'l railway per 
671758376720687104	orlando2vegas	carol p . sachs of california , who lost her legs after a train accident in innsbruck , sought to sue the railroa ... 
671753269195108352	ProgressiveToo	supreme court says woman injured in can’t sue in u.s. 
671749870412169216	EverydayTravelz	supreme court says woman injured in austria can’t sue in … 
671747071544700929	GCarpenter3	buys train ticket in us , but loses legs in an austrian train accident . scotus : can't sue in the us . 
671745604905750528	TheRReport	supreme court in unanimous decision says woman injured in austria can’t sue in u.s. 

http://www.nytimes.com/2015/12/02/business/economy/the-good-old-days-of-the-gold-standard-not-really-historians-say.html
671898099644633088	nanamimanko	the good old days of the gold standard ? not really , historians say 
672023206350426112	jegomezpardo	the good old days of the gold standard ? / de vuelta al patrón oro ? 
672011488056381441	mcopses	rt the gold standard , an idea that long ago lost currency among economists , remains popular among gop politicans : … 
672009612762181632	PINOROMBI	the gold standard comes back ... maybe 
671966211589165056	CliffordGorovoy	the good old days , historians say true stability relies on a gold backed dollar !!! roosevelt was an ass !! 
671949448231018496	ManasHardas	hey my woods , how about an episode refuting this ? 
671928641580900352	chenx064	the second coming of the cross of gold . ( seriously , why flirt with such an awful economic idea ? ) 
671903021400330240	Steven_Killian	“ the real world is a complex place , ” 
671902353990094848	mgerrydoyle	there are so many " econ 101 " reasons why the gold standard is a terrible , destructive idea . and yet . and yet . 
671898099455946752	JeisBonGeek	the good old days of the gold standard ? not really ,… 

http://www.nytimes.com/2015/12/02/dining/savory-tarts-recipe-holidays.html
671375653439012864	freeUnnamedNews	savory tarts to win over a sugar-shy holiday crowd - - 

http://www.nytimes.com/2015/12/01/world/africa/pope-francis-ends-african-trip-with-visit-to-a-mosque.html
671856765592576003	dare2misbehave	what did not say was equally potent during trip to africa ... 
671526811260469248	TSH_RSS	pope francis ends african trip with visit to a mosque - 
671713631680106496	disneybritton	pope francis ends visit to africa with visit to a mosque 
671586667606777856	EwRmadrid	top story : with raymond pope francis ends african trip with vi … see more 
671544631348215808	SaraLNathan	" together , we must say no to hatred , to revenge and to violence . " 
671537748075876352	jh_swanson	ended his trip to africa with a visit to a mosque i wish more leaders would visit mosques 
671531818152259584	abstractnytimes	physical entity francis ends african abstract entity with entity to a physical entity 
671531792835452928	CLM_net	pope ends african trip with visit to a mosque : francis ’ six-day swing through … 
671531047583027200	ukworldnews	ny times : pope ends african trip with visit to a mosque 

http://www.nytimes.com/interactive/2015/11/20/nyregion/algebra-quiz.html
672030737718222853	CHarrisDoMS	rt question no one asks about this math : why should students care about solving problems like these ? 
671338567550042113	edoutreach21	how hard is new york’s algebra exam ? 
671923392174563328	KyEkinci	i got 4 out of 5 : .. didn't quite get the graph question , but i'll look at that again when i'm more awake . 
671891686881017857	kim__gonzales	i love math quizzes ! 
671795944753598464	itsjustolmos	the way algebra is taught nowadays is o_o 
671748230875471872	mjaycantrell	i got 4 out of 5 , but i just rushed the graph one that i missed . 
671734994885345281	dobbsferryufsd	remember those tough algebra problems from your youth ? here are some sample questions from this year's new york ... 
671731183642796033	theminorplanet	5/5 . nice . 
671699253383819264	michaelluo	have you taken algebra quiz ? was scribbling formulas on pen and paper last night . 
671701266054160385	lonjohnson	these are not bad at all , and with the exeception of one ( in this example ) , all represent a real world ... 
671701163432103936	GormoExJourno	i got 2/5 right on this , the first and last questions . yup , i still suck at algebra : 
671699350406438912	jyarow	i got 4/5 on this . so annoyed at myself . i rushed the last question and didn’t check my work . 
671686022846095360	benstweetssuck	5/5 without calculator or even scratch paper . suck it . 
671673243217100800	tiltonsalgebra	to fix they changed the test : ouch . we change the learning : 
671666064992821248	mathematicsview	ny / region|how hard is new york's algebra exam ? - new york times 
671584989981466624	mika_reyes	waiting for my meeting to start so i decided to take this alegbra quiz to pass time take it everyone it's fun haha 
671569975082004480	CSRatican	how hard is ny's algebra exam ? 
671556604966244353	iampinch	i daresay the average singaporean high schooler should ace these . rt how hard is new york's algebra exam ? 
671547712400064512	gdomdom	when your hubs is a math teacher & u show him this article & suddenly ur doing algebra together on a mon night lol 
671547147217539072	Erin_R_Hoffman	( 1/2 ) the posted a 5-question algebra quiz with 0 further insights about the individual questions 
671454623924785152	footnoted	couldn’t resist algebra test . got 100 on my algebra regents a long time ago . only 4/5 correct this time ! 
671428966981480449	samanthastorey	sample test questions from new york's algebra exam . i got 2/5 . 
671424623880327168	CTLizB	not surprisingly , i cannot recall how to do any of this : 
671425133937074177	katetaylornyt	could you pass new york's new algebra i regents exam ? 
671424385987813376	troy_dai	seriously americans , if this is your high school algebra exam you're fucked up . 
671418848638144514	Alexander001a	i would not be comparing it to " average " standards , i would be comparing it to the highest global standards ! the sam … 
671386100594774016	hchamp	but will either company be around that long ? 
671384215674580992	KaitWells	* quiz * how hard is exam ? i am a writer , so numbers are not my friend . but i still scored 5/5 . 
671380936899076097	andywonders	will you do better than 37% of new york students on the algebra test ? 
671357951496556546	amyvirshup	i got 3 out of 5 on the regents algebra quiz . not sure i'm college ready . 
671359298962870272	tomwp	want to be disappointed by how much smarter you used to be ? take our high school algebra quiz ! 
671340823775199233	amyvirshup	could you pass the regent's algebra exam ? take the quiz . 
671341980291571712	NewVisionsNYC	do u think exam is too hard ? try quiz to get a sense 4 yourself : 
671341757586669572	ms_emarie	rt could you pass the regent's algebra exam ? take the quiz . 

